displayName,district,party,wyoleg
Ogden Driskill,S01,REP,https://www.wyoleg.gov/Legislators/2024/S/1972
Cheri Steinmetz,S03,REP,https://www.wyoleg.gov/Legislators/2024/S/2011
Lynn Hutchings,S05,REP,https://www.wyoleg.gov/Legislators/2024/S/1997
Stephan Pappas,S07,REP,https://www.wyoleg.gov/Legislators/2024/S/2008
Chris Rothfuss,S09,DEM,https://www.wyoleg.gov/Legislators/2024/S/1971
Larry Hicks,S11,REP,https://www.wyoleg.gov/Legislators/2024/S/1963
Stacy Jones,S13,REP,https://www.wyoleg.gov/Legislators/2024/S/2088
Wendy Schuler,S15,REP,https://www.wyoleg.gov/Legislators/2024/S/2062
Mike Gierau,S17,DEM,https://www.wyoleg.gov/Legislators/2024/S/2027
Dan Laursen,S19,REP,https://www.wyoleg.gov/Legislators/2024/S/2006
Bo Biteman,S21,REP,https://www.wyoleg.gov/Legislators/2024/S/2044
Eric Barlow,S23,REP,https://www.wyoleg.gov/Legislators/2024/S/1995
Cale Case,S25,REP,https://www.wyoleg.gov/Legislators/2024/S/945
Bill Landen,S27,REP,https://www.wyoleg.gov/Legislators/2024/S/434
Bob Ide,S29,REP,https://www.wyoleg.gov/Legislators/2024/S/2089
Evie Brennan,S31,REP,https://www.wyoleg.gov/Legislators/2024/S/2090
